text,label
"All politicians wear disguises to hide their true alien forms",0
"Your refrigerator can predict the weather with 99% accuracy",0
"The government is stockpiling garden gnomes for war",0
"A new law makes it illegal to own more than three pencils",0
"All movie plots are secretly based on true future events",0
"Eating snow cures all known skin conditions",0
"Your TV remote controls the mood of everyone in the house",0
"All water on Earth is gradually turning into wine",0
"A celebrity revealed they are secretly a 400-year-old vampire",0
"The only way to win the lottery is to wear clothes backward",0
"Your car has a hidden button that launches fireworks",0
"All songs on the radio are sung by one talented squirrel",0
"Drinking saltwater cures headaches instantly",0
"A giant ice cream truck is orbiting the Earth right now",0
"Your phone battery lasts longer if you sing to it",0
"All clouds are painted every morning by tiny artists",0
"Eating toothpaste improves vision dramatically",0
"The earth is flat and we are all falling off the edge slowly",0
"A politician was caught trying to marry a mannequin",0
"The secret to flying is believing you can jump really high",0
"All insects are secretly controlled by one super-insect",0
"Your house is slowly rotating clockwise without you knowing",0
"A hidden underground lab controls the gravity of the city",0
"All dogs have access to the dark web",0
"Drinking paint makes your internal organs sparkle",0
"A famous athlete retired to become a professional clown",0
"The sun is a giant lamp being replaced next year",0
"All trees are moving closer to your house every night",0
"Your favorite food is secretly addictive and mind-altering",0
"The world is run by a council of five powerful infants",0
"Eating sand gives you superhuman strength",0
"All traffic lights are controlled by a single grumpy child",0
"Your microwave oven can teleport small objects",0
"A secret society of librarians controls world knowledge",0
"All birds are actually disguised security cameras",0
"Drinking milk instantly grants invisibility",0
"A new law mandates dancing every time a bell rings",0
"Your dreams are advertisements for products in another dimension",0
"All historical wars were fought over who got the last cookie",0
"The earth is slowly shrinking, and no one is noticing",0
"A politician was seen arguing with a plant in public",0
"The ocean is slowly filling up with spaghetti noodles",0
"Your phone is secretly listening to you to improve its jokes",0
"All animals are psychic and know what you're thinking",0
"Drinking motor oil is the best way to clean your system",0
"The moon is powered by a giant AA battery",0
"Your favorite movie star is actually a CGI creation",0
"All shadows are glimpses into a different universe",0
"A scientist invented a pill that makes you breathe water",0
